اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
PUBG: Battlegrounds,Intel Core i5-4430 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,40 GB,Windows 10 64-bit,Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Rainbow Six Siege,Intel Core i3 560 3.3 GHz / AMD Phenom II X4 945 3.0 GHz,6 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5870,61 GB,Windows 7/8/10 64-bit,Intel Core i5-2500K 3.3 GHz / AMD FX-8120 3.1 GHz,8 GB,NVIDIA GeForce GTX 670 / AMD Radeon HD 7970,61 GB SSD,Windows 7/8/10/11 64-bit,"technical.city, Steam Store, official game websites"
Overwatch 2,Intel Core i3 / AMD Phenom X3 8650,6 GB,NVIDIA GeForce GTX 600 series / AMD Radeon HD 7000 series,50 GB,Windows 10 64-bit,Intel Core i7 / AMD Ryzen 5,8 GB,NVIDIA GeForce GTX 1060 / AMD R9 380,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Rocket League,2.5 GHz Dual core,4 GB,NVIDIA GTX 260 / ATI Radeon HD 4850,20 GB,Windows 7 64-bit,3.0+ GHz Quad core,8 GB,NVIDIA GTX 660 / ATI Radeon HD 7950,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
FIFA 23,Intel Core i5 6600K / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,100 GB,Windows 10 64-bit,Intel Core i7 6700 / AMD Ryzen 7 2700X,12 GB,NVIDIA GTX 1660 / AMD Radeon RX 5600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Assassin's Creed Valhalla,Intel Core i5-4460 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 960 / AMD R9 380,50 GB,Windows 10 64-bit,Intel Core i7-6700 / AMD Ryzen 5 1600,8 GB,NVIDIA GTX 1080 / AMD RX Vega 64,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
God of War,Intel i5-2500k / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 960 / AMD R9 290X,70 GB,Windows 10 64-bit,Intel i5-6600k / AMD Ryzen 5 2400 G,8 GB,NVIDIA GTX 1060 / AMD RX 570,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Spider-Man Remastered,Intel Core i3-4160 / AMD equivalent,8 GB,NVIDIA GTX 950 / AMD Radeon RX 470,75 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 580,75 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Horizon Zero Dawn,Intel Core i5-2500K 3.3GHz,8 GB,NVIDIA GTX 780 / AMD Radeon R9 290,100 GB,Windows 10 64-bit,Intel Core i7-4770K 3.4GHz / Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 580,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Death Stranding,Intel Core i5-3470 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 1050 / AMD Radeon RX 560,80 GB,Windows 10 64-bit,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Resident Evil Village,Intel Core i5-7500 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 560,45 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX 5700,45 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Doom Eternal,Intel Core i5 / AMD Ryzen 3,8 GB,NVIDIA GTX 1050Ti / AMD Radeon R9 280,80 GB,Windows 10 64-bit,Intel Core i7-6700K / AMD Ryzen 7 1800X,8 GB,NVIDIA GTX 1080 / AMD Radeon RX Vega 56,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sekiro: Shadows Die Twice,Intel Core i3-2100 / AMD FX-6300,4 GB,NVIDIA GTX 760 / AMD Radeon HD 7950,25 GB,Windows 7/8/10 64-bit,Intel Core i5-2500K / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 970 / AMD Radeon RX 570,25 GB SSD,Windows 7/8/10/11 64-bit,"technical.city, Steam Store, official game websites"
Dark Souls III,Intel Core i3-2100 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 750 Ti / ATI Radeon HD 7950,25 GB,Windows 7 SP1 64bit,Intel Core i7-3770 / AMD FX-8350,8 GB,NVIDIA GeForce GTX 970 / ATI Radeon R9 series,25 GB SSD,Windows 7/8/10/11 64bit,"technical.city, Steam Store, official game websites"
Elden Ring Shadow of the Erdtree,Intel Core i5-8400 / AMD Ryzen 3 3300X,12 GB,NVIDIA GTX 1060 3GB / AMD RX 580 4GB,60 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD RX 6700 XT,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Starfield,Intel Core i7-6800K / AMD Ryzen 5 2600X,16 GB,NVIDIA GeForce GTX 1070 Ti / AMD Radeon RX 5700,125 GB SSD,Windows 10 64-bit,Intel Core i7-9800X / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2080 / AMD Radeon RX 6800 XT,125 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Baldur's Gate 3,Intel I5 4690 / AMD FX 4350,8 GB,NVIDIA GTX 970 / AMD RX 480,150 GB,Windows 10 64-bit,Intel i7 8700K / AMD r5 3600,16 GB,NVIDIA 2060 Super / AMD RX 5700,150 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Hogwarts Legacy,Intel Core i5-6600 / AMD Ryzen 5 1400,16 GB,NVIDIA GTX 960 4GB / AMD Radeon RX 470 4GB,85 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2080 Ti / AMD Radeon RX 6800,85 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Diablo IV,Intel Core i5-2500K / AMD FX-8350,8 GB,NVIDIA GTX 660 / AMD Radeon R9 280,90 GB,Windows 10 64-bit,Intel Core i5-4670K / AMD Ryzen 3 1300X,16 GB,NVIDIA GTX 970 / AMD Radeon RX 470,90 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Star Wars Jedi: Survivor,Intel Core i7-7700 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 1070 / AMD RX 580,155 GB,Windows 10 64-bit,Intel Core i5-11600K / AMD Ryzen 5 5600X,16 GB,NVIDIA RTX 2070 / AMD RX 6700 XT,155 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Final Fantasy XVI,Intel Core i5-8400 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 5700,170 GB,Windows 10 64-bit,Intel Core i7-10700 / AMD Ryzen 7 5700X,16 GB,NVIDIA RTX 2080 / AMD Radeon RX 6700 XT,170 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Resident Evil 4 Remake,Intel Core i5-7500 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 560,60 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA GTX 1070 / AMD Radeon RX 5700,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dead Space Remake,Intel Core i5-8600 / AMD Ryzen 5 2600X,16 GB,NVIDIA GTX 1070 / AMD RX 5700,50 GB,Windows 10 64-bit,Intel Core i5-11600K / AMD Ryzen 5 5600X,16 GB,NVIDIA RTX 2070 / AMD RX 6700 XT,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Last of Us Part I,Intel Core i5-8400 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 970 / AMD Radeon RX 570,100 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 6600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Uncharted 4: A Thief's End,Intel Core i5-4430 / AMD FX-6300,8 GB,NVIDIA GTX 960 / AMD Radeon R7 370,126 GB,Windows 10 64-bit,Intel Core i7-4770 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 480,126 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Ghost of Tsushima,Intel Core i3-7100 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 960 / AMD Radeon RX 5500 XT,75 GB,Windows 10 64-bit,Intel Core i5-11400 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,75 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Marvel's Spider-Man: Miles Morales,Intel Core i3-4160 / AMD equivalent,8 GB,NVIDIA GTX 950 / AMD Radeon RX 470,75 GB,Windows 10 64-bit,Intel Core i5-4670 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 580,75 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Ratchet & Clank: Rift Apart,Intel Core i3-8100 / AMD Ryzen 3 3100,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,75 GB SSD,Windows 10 64-bit,Intel Core i5-8400 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,75 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Returnal,Intel Core i5-6400 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,60 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 7 2700X,16 GB,NVIDIA RTX 2070 Super / AMD Radeon RX 6700 XT,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Days Gone,Intel Core i5-2500K / AMD FX-6300,8 GB,NVIDIA GTX 780 / AMD Radeon R9 290,70 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Detroit: Become Human,Intel Core i5-2400 / AMD FX-8100,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,50 GB,Windows 10 64-bit,Intel Core i7-2700K / AMD Ryzen 7 1700,12 GB,NVIDIA GTX 780 / AMD Radeon HD 7950,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Beyond: Two Souls,Intel Core i5-2400S / AMD FX-8350,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,43 GB,Windows 7 64-bit,Intel Core i7-2700K / AMD Ryzen 7 1700,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,43 GB SSD,Windows 7/8/10/11 64-bit,"technical.city, Steam Store, official game websites"
Heavy Rain,Intel Core i5-2400S / AMD FX-8350,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,43 GB,Windows 7 64-bit,Intel Core i7-2700K / AMD Ryzen 7 1700,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,43 GB SSD,Windows 7/8/10/11 64-bit,"technical.city, Steam Store, official game websites"
Until Dawn,Intel Core i5-8400 / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 780 / AMD Radeon RX 470,70 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Bloodborne,Intel Core i5-8400 / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 570,60 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 6700 XT,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Demon's Souls,Intel Core i5-8400 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 5700,50 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 6700 XT,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Gran Turismo 7,Intel Core i5-8600K / AMD Ryzen 5 2600X,16 GB,NVIDIA GTX 1070 / AMD Radeon RX 5700,110 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 3070 / AMD Radeon RX 6800,110 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
MLB The Show 24,Intel Core i5-8400 / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 570,50 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Order: 1886,Intel Core i5-2500K / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280X,50 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 970 / AMD Radeon RX 480,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Infamous Second Son,Intel Core i5-2500K / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280X,45 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 970 / AMD Radeon RX 480,45 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Killzone Shadow Fall,Intel Core i5-2500K / AMD FX-8350,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280X,45 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 970 / AMD Radeon RX 480,45 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
LittleBigPlanet 3,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 750 Ti / AMD Radeon R7 260X,30 GB,Windows 10 64-bit,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sackboy: A Big Adventure,Intel Core i5-6400 / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,60 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Astro Bot,Intel Core i3-8100 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 560,40 GB,Windows 10 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Helldivers 2,Intel Core i7-4790K / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 470,100 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 6600 XT,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Palworld,Intel Core i5-3570K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,40 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,32 GB,NVIDIA RTX 2070 / AMD Radeon RX 5700,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Enshrouded,Intel Core i5-6400 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,60 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,24 GB,NVIDIA RTX 2070 Super / AMD Radeon RX 6700 XT,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sons of the Forest,Intel Core i5-8400 / AMD Ryzen 3 3300X,12 GB,NVIDIA GTX 1060 3GB / AMD RX 570 4GB,20 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD RX 6700 XT,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Lethal Company,Intel Core i5-7400 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,5 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 6600,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Buckshot Roulette,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 750 Ti / AMD Radeon R7 260X,2 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,2 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Content Warning,Intel Core i3-4160 / AMD FX-6300,4 GB,Intel HD Graphics 530,5 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,5 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Abiotic Factor,Intel Core i5-2500K / AMD FX-6300,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280,10 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Gray Zone Warfare,Intel Core i5-8400 / AMD Ryzen 5 2600,16 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 580,50 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,32 GB,NVIDIA RTX 3070 / AMD Radeon RX 6700 XT,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Arena Breakout: Infinite,Intel Core i5-7500 / AMD Ryzen 5 1400,16 GB,NVIDIA GTX 1060 5GB / AMD Radeon RX 580,60 GB,Windows 10 64-bit,Intel Core i7-9700 / AMD Ryzen 5 3600X,32 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Delta Force: Hawk Ops,Intel Core i5-6500 / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 960 / AMD Radeon R9 380,50 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Marvel Rivals,Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,70 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 7 3700X,16 GB,NVIDIA RTX 2060 Super / AMD Radeon RX 5700,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The First Descendant,Intel Core i5-3570 / AMD FX-8350,8 GB,NVIDIA GTX 1050 Ti / AMD Radeon RX 570,30 GB,Windows 10 64-bit,Intel Core i7-7700 / AMD Ryzen 5 2600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Once Human,Intel Core i5-4460 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 750 Ti / AMD Radeon R7 260X,50 GB,Windows 10 64-bit,Intel Core i7-7700 / AMD Ryzen 5 1400,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Zenless Zone Zero,Intel Core i5-4460 / AMD FX-6300,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,50 GB,Windows 10 64-bit,Intel Core i7-7700 / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Wuthering Waves,Intel Core i5-6500 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,30 GB,Windows 10 64-bit,Intel Core i7-7700 / AMD Ryzen 5 2600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Honkai: Star Rail,Intel Core i3-4160 / AMD FX-6350,6 GB,NVIDIA GTX 650 Ti / AMD R7 260,20 GB,Windows 10,Intel Core i7-8700 / AMD Ryzen 5 2600,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Genshin Impact,Intel Core i5 / AMD equivalent,8 GB,NVIDIA GT 1030 / AMD equivalent,30 GB,Windows 7 SP1 64-bit,Intel Core i7 / AMD equivalent,16 GB,NVIDIA GTX 1060 6GB / AMD equivalent,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Tower of Fantasy,Intel Core i5-6600K / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,30 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2060 / AMD Radeon RX 5700,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Punishing: Gray Raven,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 750 Ti / AMD Radeon R7 260X,10 GB,Windows 10,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,10 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Blue Protocol,Intel Core i5-6500 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 760 / AMD Radeon R7 260X,40 GB,Windows 10 64-bit,Intel Core i7-7700 / AMD Ryzen 5 2600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
